id,title,by,score,type,time,hour,title_length
13960001,Os iPhone 7 e iPhone 7 Plus na cor vermelha começaram a ser vendidos no Brasil,PauloRocha,1,story,1970-01-01 00:00:01.490522812,0,78
13960019,60+ Best WordPress Restaurant and Cafe Themes 2014,designsave,1,story,1970-01-01 00:00:01.490523227,0,50
13960034,CEH v9 Course and Tools,metin-konrad,1,story,1970-01-01 00:00:01.490523620,0,23
13960064,Follow one for success,Snehanuha,1,story,1970-01-01 00:00:01.490524349,0,22
13960065,Human thought,Snehanuha,1,story,1970-01-01 00:00:01.490524380,0,13
13960080,"Loving Yourself, and Embracing Your Own Beauty",ykinlock,1,story,1970-01-01 00:00:01.490524726,0,46
13960103,The Seven Wonders of the Coding World,enrico50,1,story,1970-01-01 00:00:01.490525299,0,37
13960207,"Integer Performance Comparison for C++, C#, Delphi",srcstorm,1,story,1970-01-01 00:00:01.490527327,0,50
13960240,نقل عفش ارخص شركات نقل العفش,fxcenturymaddi,1,story,1970-01-01 00:00:01.490527875,0,28
13960259,Watch Deception 2008 Online – Free Movies,catfights,1,story,1970-01-01 00:00:01.490528130,0,41
13960277,German slut,indi23,1,story,1970-01-01 00:00:01.490528534,0,11
13960296,The elephant in the room,kruse-tim,1,story,1970-01-01 00:00:01.490528777,0,24
13960306,EURUSD: Bullish with Eyes on Key Resistance,FXTechstrategyt,1,story,1970-01-01 00:00:01.490528866,0,43
13960323,Supreme Court Printer Cartridge Case,hackbinary,1,story,1970-01-01 00:00:01.490529178,0,36
13960341,Opencv python drone – mark a person to be tracked with an object,omoser,1,story,1970-01-01 00:00:01.490529623,0,64
13960452,List of Syscall Implemented in Windows Subsystem for Linux,rarescruceat,1,story,1970-01-01 00:00:01.490531901,0,58
13960533,ESCORT ANASTASIYA – escorts| athens escorts |call girls,goldendiamond11,1,story,1970-01-01 00:00:01.490533060,0,55
13960582,Uber Group’s Visit to Seoul Escort Bar Sparked HR Complaint,dvdhnt,2,story,1970-01-01 00:00:01.490533704,0,59
13960603,Are+Robots+Killing+the+American+Dream?,mhmt33,1,story,1970-01-01 00:00:01.490534001,0,38
13960680,Stampin'+Up+PP336+Moon+Baby,treasstrokes,1,story,1970-01-01 00:00:01.490534930,0,27
13960747,Pros and Cons of Twig vs. Smarty Web Templates,james_tano,1,story,1970-01-01 00:00:01.490535898,0,46
13960756,Show HN: CipherBoard iOS Keyboard end-to-end encryption for any app or web,cipherboard,1,story,1970-01-01 00:00:01.490536025,0,74
13960780,The Black Swan: How to Maximize Opportunities for Life-Changing Events,seankim53,1,story,1970-01-01 00:00:01.490536345,0,70
13960801,Cyberlink PowerDVD 17 Ultra and Keygen {100% Working and Tested},zeshirockx,1,story,1970-01-01 00:00:01.490536674,0,64
13960842,What Raises My Risk of Having a Stroke?,diabetesgenetic,1,story,1970-01-01 00:00:01.490537270,0,39
13960872,6 Reasons Why the Google Leaders Were an Exception,martyzwilling,1,story,1970-01-01 00:00:01.490537731,0,50
13960911,How to center multiline content inside DIV using CSS (horizontal and vertical),drugget,2,story,1970-01-01 00:00:01.490538283,0,78
13961042,Samsung is risking a lot by overselling AI assistant Bixby,Charles_Oloyede,1,story,1970-01-01 00:00:01.490539784,0,58
13961072,I Loved My Grandmother. But She Was a Nazi,daegloe,19,story,1970-01-01 00:00:01.490540094,0,42
13961087,Metasploit Pro Version,rudi-rau,1,story,1970-01-01 00:00:01.490540297,0,22
13961092,How a maker makes coffee,lucapinello,1,story,1970-01-01 00:00:01.490540377,0,24
13961099,SecureDrop and Alexandre Oliva Are 2016 Free Software Awards Winners,juliane-sander,1,story,1970-01-01 00:00:01.490540421,0,68
13961133,This major feature makes its official comeback on WhatsApp,ZaarkTech,1,story,1970-01-01 00:00:01.490540793,0,58
13961139,Where Do You Stand on the Yin and Yang of Different Bitcoin Ideologies?,posternut,1,story,1970-01-01 00:00:01.490540900,0,71
13961143,Lil' Fairy Door,Kidton,1,story,1970-01-01 00:00:01.490540913,0,15
13961152,Why Bixby Will Be the Star of the Samsung Galaxy S8,jakekovoor,1,story,1970-01-01 00:00:01.490541040,0,51
13961200,Cloud offerings free tier – Amazon vs. Google,nfrankel,1,story,1970-01-01 00:00:01.490541650,0,45
13961204,Time to Upgrade to SAP BPC Version 10,sryitsolutions,1,story,1970-01-01 00:00:01.490541699,0,37
13961237,Ask HN: What are the process to build a web app?,pygix,1,story,1970-01-01 00:00:01.490542056,0,48
13961311,"Abortion Is Murder (Available on ITunes By, Evon Latrail)",kids_book,1,story,1970-01-01 00:00:01.490543044,0,57
13961346,مباراة المانيا واذربيجان بث مباشر,newtodaynews,1,story,1970-01-01 00:00:01.490543436,0,33
13961352,The Two ID Problem,schiller-silvio,1,story,1970-01-01 00:00:01.490543538,0,18
13961373,Bookmarklets Made My Life Easier,albert-helmuth,1,story,1970-01-01 00:00:01.490543777,0,32
13961375,Full Page NYTimes Ad Calls Out the Senate on #BroadbandPrivacy,rasengan,6,story,1970-01-01 00:00:01.490543789,0,62
13961394,Reduced AutoMapper- Auto-Map Objects 180% Faster,aangelov,1,story,1970-01-01 00:00:01.490544010,0,48
13961449,19luk Gerçek Resimli Çıtır Avrupa Yakası Escort Ezgi,PorazWeb,1,story,1970-01-01 00:00:01.490544792,0,52
13961459,Open SVG Files as Editable Vector Layers in Photoshop,TobyGiacometti,1,story,1970-01-01 00:00:01.490544943,0,53
13961467,"Why Business Development? Finally, a Clear Definition",dave_bcs,1,story,1970-01-01 00:00:01.490545021,0,53
13961475,"File Share, File Sharing, File Transfer, File Upload",quictransfer,1,story,1970-01-01 00:00:01.490545073,0,52
13961489,Advanced SystemCare 10.2.0.721 Crack and Serial Key Full,ranaali,1,story,1970-01-01 00:00:01.490545232,0,56
13961512,Best “Elephant Toothpaste” Experiment [video],superscigirl,1,story,1970-01-01 00:00:01.490545413,0,45
13961518,Golang Generics – a proposal with a lot of thumbs up,lnolte,1,story,1970-01-01 00:00:01.490545462,0,52
13961529,Here’s the Easiest Way to Buy Ether in USD (Even If You Live in New York),jrwit,1,story,1970-01-01 00:00:01.490545583,0,73
13961540,#HappyMothersDay- Why Mothers Are Special People,jeoworld,1,story,1970-01-01 00:00:01.490545738,0,48
13961552,President Trump and America’s National Nervous Breakdown,cdransf,1,story,1970-01-01 00:00:01.490545868,0,56
13961562,Medium launches memberships for $5 per month,DiabloD3,1,story,1970-01-01 00:00:01.490545927,0,44
13961617,3D Drawing – dragon ball Z,indi23,1,story,1970-01-01 00:00:01.490546546,0,26
13961699,Call for encryption ban pits Rudd against industry and colleagues,domenico34,1,story,1970-01-01 00:00:01.490547499,0,65
13961823,Brooklyn Psychiatrist,talha12345,1,story,1970-01-01 00:00:01.490548809,0,21
13961841,Frigidere noi si second-hand,csimion70,1,story,1970-01-01 00:00:01.490548995,0,28
13961849,A female Uber employee spoke out after a company trip to a Korean escort bar,uladzislau,3,story,1970-01-01 00:00:01.490549069,0,76
13961852,Chicken and dumplings Recipe,talha12345,1,story,1970-01-01 00:00:01.490549154,0,28
13961958,This chart depicts the AI explosion at Google over the years,rady93,10,story,1970-01-01 00:00:01.490550159,0,60
13962072,Add Google custom search on Blogger and increase Adsense revenue,coolanilshah,1,story,1970-01-01 00:00:01.490551119,0,64
13962137,Science Fiction as Prophecy,akkartik,1,story,1970-01-01 00:00:01.490551803,0,27
13962291,What to Do About Teen Sexual Violence,DrSheldon,1,story,1970-01-01 00:00:01.490553288,0,37
13962311,8 Great Ways to Improve Your Quarter-End Analysis,fuddu,1,story,1970-01-01 00:00:01.490553519,0,49
13962337,The internet is still actually controlled by 14 people who hold 7 secret keys,airsassociation,1,story,1970-01-01 00:00:01.490553746,0,77
13962338,These 10 Simple habits will make your life meaningful,blogcombi2,1,story,1970-01-01 00:00:01.490553761,0,53
13962343,Why Are Shell and Toyota Backing Hydrogen Fuel Cell Vehicles?,protomyth,1,story,1970-01-01 00:00:01.490553832,0,61
13962388,Smart Gadget That Helps Relax,Linktoblogs,1,story,1970-01-01 00:00:01.490554234,0,29
13962495,21 bot experts make their predictions for 2017,jg2009,1,story,1970-01-01 00:00:01.490555267,0,46
13962519,Let’s Start BrightScript – Part 3,andrei_bunea,1,story,1970-01-01 00:00:01.490555539,0,33
13962587,Building a Conversational Bot with JavaScript and Node.js,ghosh,1,story,1970-01-01 00:00:01.490556196,0,57
13962630,7 criteria for choosing a startup advisor,Charles_Oloyede,1,story,1970-01-01 00:00:01.490556502,0,41
13962719,Dragon Ball Super episode 84,ledoz,1,story,1970-01-01 00:00:01.490557212,0,28
13962768,R2B – the app that could save your life,r2bapp,1,story,1970-01-01 00:00:01.490557564,0,39
13962772,"Watch Dogs 2 CD Keygen (PS, Xbox, PC)",CheatHacker,1,story,1970-01-01 00:00:01.490557591,0,37
13962785,Hang loose,adventure_bug,1,story,1970-01-01 00:00:01.490557680,0,10
13962845,An Introduction to TypeScript for beginners,kruse-tim,1,story,1970-01-01 00:00:01.490558178,0,43
13962854,"Top 16 Machine Learning, Data Mining, and NLP Books",jahan,1,story,1970-01-01 00:00:01.490558252,0,51
13962900,21 Day Law of Attraction EBook,smashy,1,story,1970-01-01 00:00:01.490558645,0,30
13962927,Congolese hacks the best movies app ever,steve111,1,story,1970-01-01 00:00:01.490558904,0,40
13962945,StopFake – Опровержение фейков российской пропаганды,dkarapetyan,1,story,1970-01-01 00:00:01.490559029,0,52
13963040,Jin Rupanya Mengawini Anda Ini Tanda-Tandanya?,Wapmild,1,story,1970-01-01 00:00:01.490559867,0,46
13963074,[x-post from r/csharp] NRedux: 1-to-1 implementation of Redux in dotnet,rarescruceat,1,story,1970-01-01 00:00:01.490560099,0,71
13963100,Is the Samsung Galaxy S8 too expensive? Your answer is clear,allynushh,1,story,1970-01-01 00:00:01.490560304,0,60
13963131,Functional Relational Programming in UI Programming (2016),BoiledCabbage,1,story,1970-01-01 00:00:01.490560695,0,58
13963187,United Airlines in Twitter trouble over dress code rules,MilnerRoute,1,story,1970-01-01 00:00:01.490561272,0,56
13963226,Minister says encryption on messaging services is unacceptable,donnemartin,1,story,1970-01-01 00:00:01.490561624,0,62
13963249,Google sent me a job offer by mistake,donnemartin,2,story,1970-01-01 00:00:01.490561819,0,37
13963269,3 Design Patterns for More Reliable and Maintainable UI Tests,aangelov,1,story,1970-01-01 00:00:01.490562009,0,61
13963309,نقل اثاث مصر,saharmohamedali,1,story,1970-01-01 00:00:01.490562557,0,12
13963435,What If We Taught Argument in Every Class?,beekums,1,story,1970-01-01 00:00:01.490564056,0,42
13963535,Is disruptive evolution the new disruptive technology?,emilywadsworth,1,story,1970-01-01 00:00:01.490565420,0,54
13963537,Algorithm that adds noise in images.Animated explanation and matlab programming,ProgrammerLife6,1,story,1970-01-01 00:00:01.490565448,0,79
13963604,Two all-electric cars miss the mark for IIHS safety awards – IIHS News,topspeedone,1,story,1970-01-01 00:00:01.490566268,0,70
13963626,Professional hacker for hire,147bosch,1,story,1970-01-01 00:00:01.490566473,0,28
13963629,Elon Musk's Billion-Dollar Crusade To Stop The A.I. Apocalypse,neurologic,1,story,1970-01-01 00:00:01.490566484,0,62
13963640,نقل عفش – عباد الرحمن,fxcenturymaddi,1,story,1970-01-01 00:00:01.490566616,0,21
13963643,"After Barring Girls for Leggings, United Airlines Defends Decision",JumpCrisscross,1,story,1970-01-01 00:00:01.490566657,0,66
13963644,FedEx Will Pay You $5 to Install Flash on Your Machine,brideoflinux,1,story,1970-01-01 00:00:01.490566674,0,54
13963836,Why does Go get so much flak from developers?,juliane-sander,1,story,1970-01-01 00:00:01.490568860,0,45
13963880,Study finds potential breakthrough in determining who’s at risk for heart attack,upen,1,story,1970-01-01 00:00:01.490569498,0,80
13964047,Shape of You – Ed Sheeran (STITCH Live Cover),stitchband12,1,story,1970-01-01 00:00:01.490571595,0,45
13964071,The Gearhead Toolbox: Raspberry Pi Tools,markshepard,1,story,1970-01-01 00:00:01.490571942,0,40
13964134,Create a Barcode/QR Code Scanner Application with Ionic 2,PWHSoftware,1,story,1970-01-01 00:00:01.490572818,0,57
13964142,WW3 ISLAM v CHRISTIANITY,lemonpopsickle,1,story,1970-01-01 00:00:01.490572899,0,24
13964251,"GOLD: Bullish, Eyes Further Upside Pressure",FXTechstrategyt,1,story,1970-01-01 00:00:01.490574560,0,43
13964284,Tasty: a modern testing framework for Haskell,albert-helmuth,1,story,1970-01-01 00:00:01.490575098,0,45
13964289,Sad+Trump+Attacks+Conservatives+Over+Health+Bill+Fail+•+THE+WORLD+INFO,alico360us,1,story,1970-01-01 00:00:01.490575230,0,70
13964318,One of the best coding bootcamp in the world,dbosch,1,story,1970-01-01 00:00:01.490575864,0,44
13964386,Zeitgeist.6,schiller-silvio,1,story,1970-01-01 00:00:01.490577018,0,11
13964412,Uber Group’s Visit to Seoul Escort Bar Sparked HR Complaint,zorpner,1,story,1970-01-01 00:00:01.490577356,0,59
13964439,RICH KID SNAPCHATS,itsleongreen,1,story,1970-01-01 00:00:01.490577792,0,18
13964469,"Abortion Is Murder (Available on ITunes By, Evon Latrail)",kids_book,1,story,1970-01-01 00:00:01.490578264,0,57
13964541,SIW 2017 7.1.0326 Crack 2017 with Serial Key Free Download,codesionic,1,story,1970-01-01 00:00:01.490579351,0,58
13964580,Stayzilla Saga: What’s the big deal about the CEO of Startup being arrested?,mohan_,1,story,1970-01-01 00:00:01.490580005,0,76
13964678,Sales and Inventory Management System,rudi-rau,1,story,1970-01-01 00:00:01.490581574,0,37
13964714,We Have 24 Hours to Save Online Privacy Rules,dwaxe,1,story,1970-01-01 00:00:01.490582042,0,45
13964724,The Floppotron – Imperial March,jameshicks,1,story,1970-01-01 00:00:01.490582169,0,31
13964725,Digital Marketing Courses – Built for Startups,shekmera,1,story,1970-01-01 00:00:01.490582184,0,46
13964730,CSS Gotchas,sanj,1,story,1970-01-01 00:00:01.490582378,0,11
13964991,Android Studio May Be Coming to Chrome OS,crispytx,1,story,1970-01-01 00:00:01.490586007,0,41
13965007,CrashCourse: React Js from Start to Deployment,domenico34,1,story,1970-01-01 00:00:01.490586139,0,46
13965031,"KhabarSpecial.com+-+Online+News+Channel,+Latest+News+Updates",khabarspecial,1,story,1970-01-01 00:00:01.490586369,0,60
13965048,Build vs Buy Decisions in Software Development,beekums,1,story,1970-01-01 00:00:01.490586536,0,46
13965053,Identify Merged Cells in Slide Table and Compare Two Slides for Equality in Java,zondray,1,story,1970-01-01 00:00:01.490586591,0,80
13965062,Signal leaks your phone number to everyone in your contacts,sidcool,1,story,1970-01-01 00:00:01.490586791,0,59
13965066,Excel Rescue,excelrescue,1,story,1970-01-01 00:00:01.490586843,0,12
13965085,"In catalogue chất lượng, giá rẻ, cao cấp, sang trọng",mynga1195,1,story,1970-01-01 00:00:01.490587051,0,52
13965088,Công ty in tờ rơi quảng cáo thương hiệu cho doanh nghiệp,mynga1195,1,story,1970-01-01 00:00:01.490587070,0,56
13965126,European startups need help from family-office investors,jg2009,1,story,1970-01-01 00:00:01.490587815,0,56
13965145,Iarba sarpelui planta medicinala-viper's bugloss herb,csimion70,1,story,1970-01-01 00:00:01.490588268,0,53
13965181,Our Take on Effective Web Development Project Management,orphicpixel,1,story,1970-01-01 00:00:01.490588945,0,56
13965192,Don Bradman Cricket 17 Free Download for PC [Latest],TipuCrack,1,story,1970-01-01 00:00:01.490589212,0,52
13965248,Five Ways Cybersecurity Will Suffer If Congress Repeals the FCC Privacy Rules,dwaxe,1,story,1970-01-01 00:00:01.490590085,0,77
13965250,Analyzing code quality of widely-known open-source projects,enrico50,1,story,1970-01-01 00:00:01.490590097,0,59
13965271,"2 Most Common Kindle Fire Issues, and How to Fix Them?",tablethelpline,1,story,1970-01-01 00:00:01.490590446,0,54
13965280,"ABBYY PDF Transformer+, 1 User, Edu/Gov, ESD at Highly Affordable Price",juliane-sander,1,story,1970-01-01 00:00:01.490590698,0,71
13965301,Thinking Differently About Passwords,andrei_bunea,1,story,1970-01-01 00:00:01.490590940,0,36
13965318,6 Tips to Know How to Choose a Name for Your Business,lilacabel,6,story,1970-01-01 00:00:01.490591128,0,53
